Campaign,Ad Group,Status,Max CPC
EggCelle | Donor Recruit | Michigan,Become a Donor,Enabled,3.00
EggCelle | Donor Recruit | Michigan,Local Egg Donation,Enabled,3.00
EggCelle | Donor Recruit | Michigan,Compensation & Pay,Enabled,3.00
EggCelle | Donor Recruit | Michigan,Get Paid to Donate,Enabled,3.00
EggCelle | Donor Recruit | Michigan,Requirements & Eligibility,Enabled,3.00
EggCelle | Donor Recruit | Michigan,Donation Process,Enabled,3.00
EggCelle | Donor Recruit | Michigan,Agency & Program,Enabled,3.00
EggCelle | Donor Recruit | Ohio,Become a Donor,Enabled,3.00
EggCelle | Donor Recruit | Ohio,Local Egg Donation,Enabled,3.00
EggCelle | Donor Recruit | Ohio,Compensation & Pay,Enabled,3.00
EggCelle | Donor Recruit | Ohio,Get Paid to Donate,Enabled,3.00
EggCelle | Donor Recruit | Ohio,Requirements & Eligibility,Enabled,3.00
EggCelle | Donor Recruit | Ohio,Donation Process,Enabled,3.00
EggCelle | Donor Recruit | Ohio,Agency & Program,Enabled,3.00
EggCelle | Donor Recruit | North Carolina,Become a Donor,Enabled,3.00
EggCelle | Donor Recruit | North Carolina,Local Egg Donation,Enabled,3.00
EggCelle | Donor Recruit | North Carolina,Compensation & Pay,Enabled,3.00
EggCelle | Donor Recruit | North Carolina,Get Paid to Donate,Enabled,3.00
EggCelle | Donor Recruit | North Carolina,Requirements & Eligibility,Enabled,3.00
EggCelle | Donor Recruit | North Carolina,Donation Process,Enabled,3.00
EggCelle | Donor Recruit | North Carolina,Agency & Program,Enabled,3.00
EggCelle | Brand,Brand Core,Enabled,3.00
