Level,Campaign,Sitelink Text,Description Line 1,Description Line 2,Final URL
Campaign,EggCelle | PMax | Donor Recruit | Michigan,See If You Qualify,"Quick, free eligibility check",Apply online in minutes,https://www.eggcelle.com/qualify
Campaign,EggCelle | PMax | Donor Recruit | Michigan,Donor Compensation,"Generous, transparent pay",See what you can earn,https://www.eggcelle.com/compensation
Campaign,EggCelle | PMax | Donor Recruit | Michigan,How It Works,The egg donation process,A simple step-by-step guide,https://www.eggcelle.com/process
Campaign,EggCelle | PMax | Donor Recruit | Michigan,Start Your Application,Apply in a few minutes,Confidential & supportive,https://www.eggcelle.com/apply
Campaign,EggCelle | PMax | Donor Recruit | Ohio,See If You Qualify,"Quick, free eligibility check",Apply online in minutes,https://www.eggcelle.com/qualify
Campaign,EggCelle | PMax | Donor Recruit | Ohio,Donor Compensation,"Generous, transparent pay",See what you can earn,https://www.eggcelle.com/compensation
Campaign,EggCelle | PMax | Donor Recruit | Ohio,How It Works,The egg donation process,A simple step-by-step guide,https://www.eggcelle.com/process
Campaign,EggCelle | PMax | Donor Recruit | Ohio,Start Your Application,Apply in a few minutes,Confidential & supportive,https://www.eggcelle.com/apply
Campaign,EggCelle | PMax | Donor Recruit | North Carolina,See If You Qualify,"Quick, free eligibility check",Apply online in minutes,https://www.eggcelle.com/qualify
Campaign,EggCelle | PMax | Donor Recruit | North Carolina,Donor Compensation,"Generous, transparent pay",See what you can earn,https://www.eggcelle.com/compensation
Campaign,EggCelle | PMax | Donor Recruit | North Carolina,How It Works,The egg donation process,A simple step-by-step guide,https://www.eggcelle.com/process
Campaign,EggCelle | PMax | Donor Recruit | North Carolina,Start Your Application,Apply in a few minutes,Confidential & supportive,https://www.eggcelle.com/apply
