Campaign,Asset Group,Asset Type,Text,Char Count,Limit
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Become an Egg Donor,19,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Get Paid to Donate Eggs,23,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Apply to Be an Egg Donor,24,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Generous Donor Compensation,27,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Free Health Screening,21,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Egg Donor Application,21,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Help a Family Grow,18,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Egg Donors Wanted,17,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Trusted Egg Donor Program,25,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,See If You Qualify,18,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Apply Online in Minutes,23,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Supportive & Confidential,25,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Headline,Start Your Donor Journey,24,30
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Long Headline,Become an Egg Donor and Help a Family Grow With Generous Compensation,69,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Long Headline,"Get Paid to Donate Eggs, With Free Medical Screening and Full Support",69,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Long Headline,Join a Trusted Egg Donor Program and Apply Online in Just a Few Minutes,71,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Long Headline,"Compassionate, Confidential Egg Donation Guided by a Dedicated Care Team",72,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Long Headline,See If You Qualify to Become an Egg Donor in Michigan Today,59,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Short Description,Get paid to donate eggs and help a family grow.,47,60
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Description,"Generous compensation, free medical screening, and caring support every step.",77,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Description,Apply to become an egg donor in Michigan and see if you qualify in minutes.,75,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Description,"Confidential process, dedicated support, and meaningful pay for your time.",74,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Description,Egg donors are in high demand. Start your application and make a difference.,76,90
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Business Name,EggCelle,8,25
EggCelle | PMax | Donor Recruit | Michigan,Michigan — Egg Donor Recruitment,Call To Action,Apply Now,9,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Become an Egg Donor,19,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Get Paid to Donate Eggs,23,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Apply to Be an Egg Donor,24,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Generous Donor Compensation,27,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Free Health Screening,21,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Egg Donor Application,21,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Help a Family Grow,18,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Egg Donors Wanted,17,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Trusted Egg Donor Program,25,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,See If You Qualify,18,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Apply Online in Minutes,23,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Supportive & Confidential,25,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Headline,Start Your Donor Journey,24,30
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Long Headline,Become an Egg Donor and Help a Family Grow With Generous Compensation,69,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Long Headline,"Get Paid to Donate Eggs, With Free Medical Screening and Full Support",69,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Long Headline,Join a Trusted Egg Donor Program and Apply Online in Just a Few Minutes,71,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Long Headline,"Compassionate, Confidential Egg Donation Guided by a Dedicated Care Team",72,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Long Headline,See If You Qualify to Become an Egg Donor in Ohio Today,55,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Short Description,Get paid to donate eggs and help a family grow.,47,60
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Description,"Generous compensation, free medical screening, and caring support every step.",77,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Description,Apply to become an egg donor in Ohio and see if you qualify in minutes.,71,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Description,"Confidential process, dedicated support, and meaningful pay for your time.",74,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Description,Egg donors are in high demand. Start your application and make a difference.,76,90
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Business Name,EggCelle,8,25
EggCelle | PMax | Donor Recruit | Ohio,Ohio — Egg Donor Recruitment,Call To Action,Apply Now,9,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Become an Egg Donor,19,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Get Paid to Donate Eggs,23,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Apply to Be an Egg Donor,24,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Generous Donor Compensation,27,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Free Health Screening,21,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Egg Donor Application,21,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Help a Family Grow,18,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Egg Donors Wanted,17,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Trusted Egg Donor Program,25,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,See If You Qualify,18,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Apply Online in Minutes,23,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Supportive & Confidential,25,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Headline,Start Your Donor Journey,24,30
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Long Headline,Become an Egg Donor and Help a Family Grow With Generous Compensation,69,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Long Headline,"Get Paid to Donate Eggs, With Free Medical Screening and Full Support",69,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Long Headline,Join a Trusted Egg Donor Program and Apply Online in Just a Few Minutes,71,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Long Headline,"Compassionate, Confidential Egg Donation Guided by a Dedicated Care Team",72,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Long Headline,See If You Qualify to Become an Egg Donor in North Carolina Today,65,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Short Description,Get paid to donate eggs and help a family grow.,47,60
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Description,"Generous compensation, free medical screening, and caring support every step.",77,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Description,Apply to become an egg donor in North Carolina and see if you qualify in minutes.,81,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Description,"Confidential process, dedicated support, and meaningful pay for your time.",74,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Description,Egg donors are in high demand. Start your application and make a difference.,76,90
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Business Name,EggCelle,8,25
EggCelle | PMax | Donor Recruit | North Carolina,North Carolina — Egg Donor Recruitment,Call To Action,Apply Now,9,30
