Campaign,Ad Group,Keyword,Criterion Type,Campaign Status
FertiRank - Ads - EggCelle — Michigan,,north carolina,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,charlotte,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,raleigh,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,greensboro,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,winston-salem,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,ohio,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,columbus,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,cincinnati,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,dayton,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Michigan,,cleveland,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,north carolina,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,charlotte,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,raleigh,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,greensboro,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,winston-salem,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,ohio,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,columbus,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,cincinnati,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,dayton,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | MI | SKAG,,cleveland,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,michigan,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,detroit,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,troy,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,bloomfield hills,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,royal oak,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,ohio,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,columbus,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,cincinnati,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,dayton,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — North Carolina,,cleveland,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,michigan,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,detroit,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,troy,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,bloomfield hills,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,royal oak,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,ohio,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,columbus,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,cincinnati,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,dayton,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | NC | SKAG,,cleveland,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,michigan,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,detroit,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,troy,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,bloomfield hills,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,royal oak,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,north carolina,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,charlotte,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,raleigh,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,greensboro,Negative Phrase,Enabled
FertiRank - Ads - EggCelle — Ohio,,winston-salem,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,michigan,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,detroit,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,troy,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,bloomfield hills,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,royal oak,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,north carolina,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,charlotte,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,raleigh,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,greensboro,Negative Phrase,Enabled
FertiRank - Ads - EggCelle | NB | OH | SKAG,,winston-salem,Negative Phrase,Enabled
